Company:,FCX,	,	,	,	,	,	,
Case:,Bearish,	,	,	,	,	,	,
Activity:,Sell,	,	,	,	,	,	,
======================================================================================
Number: ,1,,,,,,,
Found Date: ,2009-02-23,	,	,	,	,	,	,
Enter Date1:,2009-02-24,Enter price:,13.38,Exit price:,13.995,Profit rate:,-4.5964125560538 %,
Enter Date2:,2009-02-25,Enter price:,14.375,Exit price:,14.66,Profit rate:,-1.9826086956521751 %,
Enter Date3:,2009-02-26,Enter price:,15.01,Exit price:,15.045,Profit rate:,-0.23317788141239268 %,
Enter Date4:,2009-02-27,Enter price:,14.385,Exit price:,15.21,Profit rate:,-5.73514077163713 %,
Enter Date5:,2009-03-02,Enter price:,14.755,Exit price:,13.245,Profit rate:,10.23381904439174 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.313520860363756 %,
	,	,	,	,Total cumulative:,,Profit rate:,-2.313520860363756 %,
Exit 5th day:,2009-02-24
		    to
		2009-03-02,Enter price:,13.38,Exit price:,13.245,Profit rate:,1.0089686098654824 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,2,,,,,,,
Found Date: ,2009-04-16,	,	,	,	,	,	,
Enter Date1:,2009-04-17,Enter price:,21.780001,Exit price:,21.700001,Profit rate:,0.36730944135401233 %,
Enter Date2:,2009-04-20,Enter price:,20.514999,Exit price:,19.555,Profit rate:,4.679498156446412 %,
Enter Date3:,2009-04-21,Enter price:,19.025,Exit price:,20.365,Profit rate:,-7.043363994743758 %,
Enter Date4:,2009-04-22,Enter price:,19.705,Exit price:,20.225,Profit rate:,-2.638924130931252 %,
Enter Date5:,2009-04-23,Enter price:,20.01,Exit price:,19.58,Profit rate:,2.1489255372314005 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.4865549906431847 %,
	,	,	,	,Total cumulative:,,Profit rate:,-4.800075851006941 %,
Exit 5th day:,2009-04-17
		    to
		2009-04-23,Enter price:,21.780001,Exit price:,19.58,Profit rate:,10.101014228603573 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,3,,,,,,,
Found Date: ,2009-05-12,	,	,	,	,	,	,
Enter Date1:,2009-05-13,Enter price:,23.559999,Exit price:,23.004999,Profit rate:,2.3556877060987977 %,
Enter Date2:,2009-05-14,Enter price:,22.83,Exit price:,23.055,Profit rate:,-0.9855453350854202 %,
Enter Date3:,2009-05-15,Enter price:,23.23,Exit price:,22.584999,Profit rate:,2.776586310804996 %,
Enter Date4:,2009-05-18,Enter price:,23.07,Exit price:,24.334999,Profit rate:,-5.4833073255309905 %,
Enter Date5:,2009-05-19,Enter price:,24.655001,Exit price:,24.76,Profit rate:,-0.4258730307899925 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.7624516745026093 %,
	,	,	,	,Total cumulative:,,Profit rate:,-6.56252752550955 %,
Exit 5th day:,2009-05-13
		    to
		2009-05-19,Enter price:,23.559999,Exit price:,24.76,Profit rate:,-5.093383068479758 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,4,,,,,,,
Found Date: ,2009-06-29,	,	,	,	,	,	,
Enter Date1:,2009-06-30,Enter price:,25.445,Exit price:,25.055,Profit rate:,1.5327176262527042 %,
Enter Date2:,2009-07-01,Enter price:,25.75,Exit price:,25.285,Profit rate:,1.8058252427184462 %,
Enter Date3:,2009-07-02,Enter price:,24.665001,Exit price:,24.860001,Profit rate:,-0.7905939269980174 %,
Enter Date4:,2009-07-06,Enter price:,23.959999,Exit price:,22.969999,Profit rate:,4.13188664991179 %,
Enter Date5:,2009-07-07,Enter price:,23.275,Exit price:,22.5,Profit rate:,3.3297529538130983 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,10.009588545698021 %,
	,	,	,	,Total cumulative:,,Profit rate:,3.447061020188471 %,
Exit 5th day:,2009-06-30
		    to
		2009-07-07,Enter price:,25.445,Exit price:,22.5,Profit rate:,11.573983100805659 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,5,,,,,,,
Found Date: ,2009-12-28,	,	,	,	,	,	,
Enter Date1:,2009-12-29,Enter price:,41.349998,Exit price:,40.544998,Profit rate:,1.9467957410783907 %,
Enter Date2:,2009-12-30,Enter price:,40.365002,Exit price:,40.439999,Profit rate:,-0.18579709224343235 %,
Enter Date3:,2009-12-31,Enter price:,40.790001,Exit price:,40.145,Profit rate:,1.581272331912896 %,
Enter Date4:,2010-01-04,Enter price:,41.305,Exit price:,41.73,Profit rate:,-1.0289311221401698 %,
Enter Date5:,2010-01-05,Enter price:,41.755001,Exit price:,41.98,Profit rate:,-0.5388552140137581 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.7744846445939264 %,
	,	,	,	,Total cumulative:,,Profit rate:,5.221545664782397 %,
Exit 5th day:,2009-12-29
		    to
		2010-01-05,Enter price:,41.349998,Exit price:,41.98,Profit rate:,-1.5235841123861662 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,6,,,,,,,
Found Date: ,2009-12-31,	,	,	,	,	,	,
Enter Date1:,2010-01-04,Enter price:,41.305,Exit price:,41.73,Profit rate:,-1.0289311221401698 %,
Enter Date2:,2010-01-05,Enter price:,41.755001,Exit price:,41.98,Profit rate:,-0.5388552140137581 %,
Enter Date3:,2010-01-06,Enter price:,42.43,Exit price:,43.654999,Profit rate:,-2.887105821352809 %,
Enter Date4:,2010-01-07,Enter price:,43.264999,Exit price:,42.82,Profit rate:,1.028542725726176 %,
Enter Date5:,2010-01-08,Enter price:,42.970001,Exit price:,44.049999,Profit rate:,-2.5133767160023948 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-5.939726147782956 %,
	,	,	,	,Total cumulative:,,Profit rate:,-0.7181804830005589 %,
Exit 5th day:,2010-01-04
		    to
		2010-01-08,Enter price:,41.305,Exit price:,44.049999,Profit rate:,-6.645682120808619 %,
,,Win:,1,Lose:,4,,,
======================================================================================
Number: ,7,,,,,,,
Found Date: ,2010-01-28,	,	,	,	,	,	,
Enter Date1:,2010-01-29,Enter price:,34.924999,Exit price:,33.345001,Profit rate:,4.523974360027888 %,
Enter Date2:,2010-02-01,Enter price:,34.064999,Exit price:,35.794998,Profit rate:,-5.078523560209114 %,
Enter Date3:,2010-02-02,Enter price:,36.630001,Exit price:,36.255001,Profit rate:,1.0237509958025937 %,
Enter Date4:,2010-02-03,Enter price:,35.860001,Exit price:,35.23,Profit rate:,1.7568348645612142 %,
Enter Date5:,2010-02-04,Enter price:,34.255001,Exit price:,33.369999,Profit rate:,2.583570206289003 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,4.809606866471585 %,
	,	,	,	,Total cumulative:,,Profit rate:,4.091426383471026 %,
Exit 5th day:,2010-01-29
		    to
		2010-02-04,Enter price:,34.924999,Exit price:,33.369999,Profit rate:,4.452398123189638 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,8,,,,,,,
Found Date: ,2010-02-17,	,	,	,	,	,	,
Enter Date1:,2010-02-18,Enter price:,37.310001,Exit price:,38.299999,Profit rate:,-2.653438685246886 %,
Enter Date2:,2010-02-19,Enter price:,38.0,Exit price:,38.580002,Profit rate:,-1.52632105263158 %,
Enter Date3:,2010-02-22,Enter price:,38.759998,Exit price:,38.119999,Profit rate:,1.6511842957267517 %,
Enter Date4:,2010-02-23,Enter price:,37.825001,Exit price:,36.82,Profit rate:,2.6569754750303907 %,
Enter Date5:,2010-02-24,Enter price:,36.790001,Exit price:,36.34,Profit rate:,1.2231611518575203 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.351561184736197 %,
	,	,	,	,Total cumulative:,,Profit rate:,5.442987568207223 %,
Exit 5th day:,2010-02-18
		    to
		2010-02-24,Enter price:,37.310001,Exit price:,36.34,Profit rate:,2.599841795769441 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,9,,,,,,,
Found Date: ,2010-03-17,	,	,	,	,	,	,
Enter Date1:,2010-03-18,Enter price:,40.59,Exit price:,40.134998,Profit rate:,1.120970682434098 %,
Enter Date2:,2010-03-19,Enter price:,39.255001,Exit price:,39.255001,Profit rate:,0.0 %,
Enter Date3:,2010-03-22,Enter price:,38.625,Exit price:,39.900002,Profit rate:,-3.300976051779937 %,
Enter Date4:,2010-03-23,Enter price:,39.805,Exit price:,40.544998,Profit rate:,-1.859057907298078 %,
Enter Date5:,2010-03-24,Enter price:,39.845001,Exit price:,39.895,Profit rate:,-0.12548374638012852 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-4.164547023024046 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.2784405451831775 %,
Exit 5th day:,2010-03-18
		    to
		2010-03-24,Enter price:,40.59,Exit price:,39.895,Profit rate:,1.7122443951712247 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,10,,,,,,,
Found Date: ,2010-03-25,	,	,	,	,	,	,
Enter Date1:,2010-03-26,Enter price:,39.299999,Exit price:,39.584999,Profit rate:,-0.7251908581473595 %,
Enter Date2:,2010-03-29,Enter price:,40.465,Exit price:,41.439999,Profit rate:,-2.409487211170139 %,
Enter Date3:,2010-03-30,Enter price:,41.580002,Exit price:,41.830002,Profit rate:,-0.6012505723304198 %,
Enter Date4:,2010-03-31,Enter price:,41.709999,Exit price:,41.77,Profit rate:,-0.1438527965440607 %,
Enter Date5:,2010-04-01,Enter price:,42.445,Exit price:,43.139999,Profit rate:,-1.6374107668747857 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-5.517192205066765 %,
	,	,	,	,Total cumulative:,,Profit rate:,-4.2387516598835875 %,
Exit 5th day:,2010-03-26
		    to
		2010-04-01,Enter price:,39.299999,Exit price:,43.139999,Profit rate:,-9.77099261503799 %,
,,Win:,0,Lose:,5,,,
======================================================================================
Number: ,11,,,,,,,
Found Date: ,2010-04-30,	,	,	,	,	,	,
Enter Date1:,2010-05-03,Enter price:,37.799999,Exit price:,36.869999,Profit rate:,2.460317525405225 %,
Enter Date2:,2010-05-04,Enter price:,35.939999,Exit price:,35.244999,Profit rate:,1.9337785735608959 %,
Enter Date3:,2010-05-05,Enter price:,33.990002,Exit price:,35.220001,Profit rate:,-3.618708230732104 %,
Enter Date4:,2010-05-06,Enter price:,35.25,Exit price:,34.514999,Profit rate:,2.0851092198581473 %,
Enter Date5:,2010-05-07,Enter price:,34.959999,Exit price:,33.794998,Profit rate:,3.332382818432013 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,6.192879906524177 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.9541282466405896 %,
Exit 5th day:,2010-05-03
		    to
		2010-05-07,Enter price:,37.799999,Exit price:,33.794998,Profit rate:,10.595241021038122 %,
,,Win:,4,Lose:,1,,,
======================================================================================
Number: ,12,,,,,,,
Found Date: ,2010-06-03,	,	,	,	,	,	,
Enter Date1:,2010-06-04,Enter price:,32.099998,Exit price:,31.405001,Profit rate:,2.1650998233707077 %,
Enter Date2:,2010-06-07,Enter price:,31.4,Exit price:,29.33,Profit rate:,6.59235668789809 %,
Enter Date3:,2010-06-08,Enter price:,29.540001,Exit price:,30.74,Profit rate:,-4.06228489971953 %,
Enter Date4:,2010-06-09,Enter price:,31.450001,Exit price:,30.375,Profit rate:,3.418127077325054 %,
Enter Date5:,2010-06-10,Enter price:,31.32,Exit price:,32.18,Profit rate:,-2.7458492975734337 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,5.367449391300887 %,
	,	,	,	,Total cumulative:,,Profit rate:,7.321577637941477 %,
Exit 5th day:,2010-06-04
		    to
		2010-06-10,Enter price:,32.099998,Exit price:,32.18,Profit rate:,-0.24922742985840793 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,13,,,,,,,
Found Date: ,2010-07-27,	,	,	,	,	,	,
Enter Date1:,2010-07-28,Enter price:,34.73,Exit price:,35.189999,Profit rate:,-1.3245004319032634 %,
Enter Date2:,2010-07-29,Enter price:,35.645,Exit price:,35.369999,Profit rate:,0.771499509047561 %,
Enter Date3:,2010-07-30,Enter price:,34.685001,Exit price:,35.77,Profit rate:,-3.128150407145738 %,
Enter Date4:,2010-08-02,Enter price:,36.605,Exit price:,37.400002,Profit rate:,-2.1718399125802588 %,
Enter Date5:,2010-08-03,Enter price:,37.07,Exit price:,37.014999,Profit rate:,0.1483706501213844 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-5.704620592460316 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.6169570454811613 %,
Exit 5th day:,2010-07-28
		    to
		2010-08-03,Enter price:,34.73,Exit price:,37.014999,Profit rate:,-6.5793233515692675 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,14,,,,,,,
Found Date: ,2010-08-23,	,	,	,	,	,	,
Enter Date1:,2010-08-24,Enter price:,34.154999,Exit price:,33.525002,Profit rate:,1.8445235498323276 %,
Enter Date2:,2010-08-25,Enter price:,33.169998,Exit price:,33.330002,Profit rate:,-0.4823756697241909 %,
Enter Date3:,2010-08-26,Enter price:,34.150002,Exit price:,33.555,Profit rate:,1.7423190780486657 %,
Enter Date4:,2010-08-27,Enter price:,34.224998,Exit price:,35.599998,Profit rate:,-4.017531279329805 %,
Enter Date5:,2010-08-30,Enter price:,35.544998,Exit price:,35.18,Profit rate:,1.0268617823526112 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,0.11379746117960887 %,
	,	,	,	,Total cumulative:,,Profit rate:,1.7307545066607701 %,
Exit 5th day:,2010-08-24
		    to
		2010-08-30,Enter price:,34.154999,Exit price:,35.18,Profit rate:,-3.0010277558491607 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,15,,,,,,,
Found Date: ,2010-11-09,	,	,	,	,	,	,
Enter Date1:,2010-11-10,Enter price:,51.34,Exit price:,52.165001,Profit rate:,-1.6069361121932084 %,
Enter Date2:,2010-11-11,Enter price:,52.799999,Exit price:,54.005001,Profit rate:,-2.2822008007992585 %,
Enter Date3:,2010-11-12,Enter price:,52.77,Exit price:,51.959999,Profit rate:,1.5349649422020082 %,
Enter Date4:,2010-11-15,Enter price:,51.950001,Exit price:,51.0,Profit rate:,1.8286833141735652 %,
Enter Date5:,2010-11-16,Enter price:,49.735001,Exit price:,48.805,Profit rate:,1.8699124988456262 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,1.3444238422287327 %,
	,	,	,	,Total cumulative:,,Profit rate:,3.075178348889503 %,
Exit 5th day:,2010-11-10
		    to
		2010-11-16,Enter price:,51.34,Exit price:,48.805,Profit rate:,4.937670432411382 %,
,,Win:,3,Lose:,2,,,
======================================================================================
Number: ,16,,,,,,,
Found Date: ,2011-01-19,	,	,	,	,	,	,
Enter Date1:,2011-01-20,Enter price:,55.490002,Exit price:,55.450001,Profit rate:,0.07208685989954844 %,
Enter Date2:,2011-01-21,Enter price:,55.215,Exit price:,54.200001,Profit rate:,1.8382667753327955 %,
Enter Date3:,2011-01-24,Enter price:,54.095001,Exit price:,54.235001,Profit rate:,-0.25880395121906635 %,
Enter Date4:,2011-01-25,Enter price:,53.060001,Exit price:,53.215,Profit rate:,-0.29212023573087315 %,
Enter Date5:,2011-01-26,Enter price:,53.165001,Exit price:,55.16,Profit rate:,-3.7524667779090235 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-2.393037329626619 %,
	,	,	,	,Total cumulative:,,Profit rate:,0.6821410192628838 %,
Exit 5th day:,2011-01-20
		    to
		2011-01-26,Enter price:,55.490002,Exit price:,55.16,Profit rate:,0.5947053308810484 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,17,,,,,,,
Found Date: ,2011-02-07,	,	,	,	,	,	,
Enter Date1:,2011-02-08,Enter price:,56.09,Exit price:,55.639999,Profit rate:,0.8022838295596367 %,
Enter Date2:,2011-02-09,Enter price:,55.099998,Exit price:,53.889999,Profit rate:,2.1960055243559107 %,
Enter Date3:,2011-02-10,Enter price:,52.990002,Exit price:,53.619999,Profit rate:,-1.1888978603926135 %,
Enter Date4:,2011-02-11,Enter price:,53.279999,Exit price:,53.52,Profit rate:,-0.45045233578177546 %,
Enter Date5:,2011-02-14,Enter price:,54.360001,Exit price:,56.139999,Profit rate:,-3.274462780087157 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-1.9155236223459986 %,
	,	,	,	,Total cumulative:,,Profit rate:,-1.2333826030831148 %,
Exit 5th day:,2011-02-08
		    to
		2011-02-14,Enter price:,56.09,Exit price:,56.139999,Profit rate:,-0.0891406667855227 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,18,,,,,,,
Found Date: ,2011-03-28,	,	,	,	,	,	,
Enter Date1:,2011-03-29,Enter price:,53.950001,Exit price:,54.299999,Profit rate:,-0.6487451223587547 %,
Enter Date2:,2011-03-30,Enter price:,55.139999,Exit price:,55.240002,Profit rate:,-0.18136199095686206 %,
Enter Date3:,2011-03-31,Enter price:,55.009998,Exit price:,55.549999,Profit rate:,-0.9816415554132479 %,
Enter Date4:,2011-04-01,Enter price:,55.459999,Exit price:,55.080002,Profit rate:,0.6851731100824632 %,
Enter Date5:,2011-04-04,Enter price:,55.959999,Exit price:,55.77,Profit rate:,0.33952645352977984 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,-0.7870491051166218 %,
	,	,	,	,Total cumulative:,,Profit rate:,-2.0204317081997365 %,
Exit 5th day:,2011-03-29
		    to
		2011-04-04,Enter price:,53.950001,Exit price:,55.77,Profit rate:,-3.3734920598055282 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,19,,,,,,,
Found Date: ,2011-07-20,	,	,	,	,	,	,
Enter Date1:,2011-07-21,Enter price:,55.939999,Exit price:,55.34,Profit rate:,1.072575993431814 %,
Enter Date2:,2011-07-22,Enter price:,55.43,Exit price:,55.669998,Profit rate:,-0.4329749233267182 %,
Enter Date3:,2011-07-25,Enter price:,55.169998,Exit price:,55.459999,Profit rate:,-0.5256498287348201 %,
Enter Date4:,2011-07-26,Enter price:,56.07,Exit price:,56.080002,Profit rate:,-0.017838416265382677 %,
Enter Date5:,2011-07-27,Enter price:,55.639999,Exit price:,54.450001,Profit rate:,2.138745545268616 %,
	,	,	,	,Cumulative for 5 days:,,Profit rate:,2.234858370373509 %,
	,	,	,	,Total cumulative:,,Profit rate:,0.2144266621737727 %,
Exit 5th day:,2011-07-21
		    to
		2011-07-27,Enter price:,55.939999,Exit price:,54.450001,Profit rate:,2.6635645810433424 %,
,,Win:,2,Lose:,3,,,
======================================================================================
Number: ,20,,,,,,,
Found Date: ,2011-09-16,	,	,	,	,	,	,
Enter Date1:,2011-09-19,Enter price:,40.490002,Exit price:,40.220001,Profit rate:,0.6668337531818188 %,
Enter Date2:,2011-09-20,Enter price:,39.959999,Exit price:,38.549999,Profit rate:,3.5285286168300547 %,
Enter Date3:,2011-09-21,Enter price:,38.080002,Exit price:,35.59,Profit rate:,6.538870454891249 %,
Enter Date4:,2011-09-22,Enter price:,33.459999,Exit price:,32.139999,Profit rate:,3.9450090838317124 %,
Enter Date5:,2011-09-23,Enter price:,31.4,Exit price:,32.369999,Profit rate:,-3.0891687898089217 %,
